ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,term,Group,,
BP,GO:0044283,small molecule biosynthetic process,87/1434,474/11422,0.183544304,1.461954699,3.892320019,0.000137308,0.011069606,0.009753822,4324853/107275641/4332434/4340392/4326739/4334460/4345962/4332563/4336415/9270715/4330711/4343702/4349410/4335576/4324713/4333768/4333033/4336402/4344612/107277102/4345710/4351707/4344594/4348268/4332286/4333818/4326358/4330482/4349222/4333719/4343249/4338868/9270160/4349660/4331161/4333201/4332108/4346318/4333898/4328143/4324282/4340691/4340157/4351957/4343455/4334048/4349120/4339645/4329432/4329733/4351381/4335739/4348632/4334381/4349749/4352791/4332293/4341713/4341844/4334049/4324844/4327738/4346529/4346355/4340485/4344382/4327435/4338768/4341584/4324708/4348496/4342026/4329007/4345994/4352833/4341321/4334290/4340677/4332519/4350766/4324773/107275880/4343348/4350456/4334554/4333830/4335627,87,GO:0044283: small molecule biosynthetic process,Kac,,
BP,GO:0019637,organophosphate metabolic process,82/1434,432/11422,0.189814815,1.51190015,4.109752406,6.62E-05,0.009908116,0.008730392,4347022/4334460/4347509/4324151/4342872/4346301/4339369/4333768/4329889/4346680/4350084/4338034/4339200/4327964/4342557/107276153/4327239/4351707/4345628/4350793/4326547/4328220/4352499/4336987/4332721/4326153/4327301/4337396/4331161/4343003/4332194/4349636/4340685/4335559/4352460/4347614/4345725/4344468/4325407/4335562/4344683/4346083/4343455/4347680/4325335/4331418/4339882/4344315/4328107/4349502/4332109/4337888/4348512/4344972/4326512/4343960/4341467/4334968/4338768/4329911/4342543/4339675/4348496/4335745/4334003/4331188/9267826/4340640/4340643/4324176/4337906/4327833/4341339/4334290/4340677/4331746/4341468/4325586/4337890/4350528/4341801/4328470,82,GO:0019637: organophosphate metabolic process,Kac,,
BP,GO:0051649,establishment of localization in cell,72/1434,477/11422,0.150943396,1.20228415,1.710017429,0.01,0.01,0.01,9266519/4352271/4336024/4338016/4339098/4328861/4325312/9266052/4337342/4334695/4340097/4326480/4346287/4332864/4333557/9267670/4348891/4332496/4346657/4341074/4339683/4351205/4339163/4334823/4350905/4331645/4333035/4333120/4340842/4327660/4332526/4342601/4332426/4331010/4331721/4334079/4348999/4344339/4350599/9266663/4341894/4335642/4343420/4338508/4324394/4327818/9271973/4340257/4340037/4339486/4342665/4324247/4343696/4347526/4339274/4349288/4334485/4349303/4334700/4333468/4348622/4350961/4343885/4326570/4334042/4332834/4327779/4346691/4331353/4335134/4326208/4325047,72,GO:0051649: establishment of localization in cell,Kac,,
BP,GO:0034660,ncRNA metabolic process,71/1434,339/11422,0.209439528,1.668213591,4.732317358,7.28E-06,0.00207208,0.001825783,4336833/4352435/4336205/4332742/4339812/4337577/4348566/4348464/4324552/4351627/4324714/4336914/4325215/4350355/4344011/4326190/4342480/4334469/4331979/9270402/4345200/4346657/4346920/4324901/4330908/4334430/9269812/4333345/4331931/4334353/4337268/4343819/4332800/4343071/4331976/4328001/4342081/4340217/4330670/4348211/4347787/4332018/4325167/4325653/4338325/4351115/4346824/4336092/4337996/4328304/4331644/4345577/4328255/4347638/4342624/4325717/4325333/4339847/4329847/4352669/4337783/4348562/4327851/4343885/4352037/4348775/4331353/4337830/9266147/4340049/4331511,71,GO:0034660: ncRNA metabolic process,Kac,,
BP,GO:0033554,cellular response to stress,71/1434,435/11422,0.163218391,1.300056109,2.417658265,0.011394923,0.01,0.01,4344139/4333880/4328654/4350002/4347617/4331236/4326378/4333078/4352339/4342170/4325353/4338176/4336560/4343013/4338088/4352514/4342077/4333557/4339460/4337089/4329520/4332113/4340604/4335896/4341709/4341465/4327971/4332310/4329757/4332326/4339215/4337994/4331645/4336878/4341640/4339821/4350754/4327899/9271158/4324566/4350329/4329652/4339468/4335732/4351663/4333161/4324394/4340137/9271973/4336886/4339099/4348535/4344820/4334691/4350526/4342826/4347864/9268989/4342124/4352826/4337287/4351098/4349131/4344159/9272524/4340912/4343276/4335134/4326441/4339343/4340223,71,GO:0033554: cellular response to stress,Kac,,
BP,GO:0043933,protein-containing complex organization,71/1434,496/11422,0.143145161,1.140170176,1.209353409,0.01,0.01,0.01,4344620/4349420/4331514/4336312/4324552/4337342/4325215/4350689/4345036/4334579/4343909/4324174/4347019/4329065/4352172/4349284/4339460/4329919/4334272/4350098/4332334/9268152/4340671/4326038/9267698/4329757/4340481/4350905/9269003/4350183/4331047/4331645/4337843/4324449/4342601/4340386/4327680/4339468/4336623/4338816/4349499/4347950/4329965/4337088/4340137/9266475/4339634/4330771/4343868/4328820/4327777/4336140/4336693/4344644/4328327/4352780/4327826/4338152/4325982/4346742/4333654/4349131/4338043/9272123/4337783/4340047/4324896/4324980/4339517/4323889/9266770,71,GO:0043933: protein-containing complex organization,Kac,,
BP,GO:1901135,carbohydrate derivative metabolic process,68/1434,460/11422,0.147826087,1.177454369,1.472000942,0.01,0.01,0.01,4333742/4347022/4347509/4324876/4324151/4346301/4339369/4329889/4336560/4350084/4338034/4339200/4327964/4338088/4342557/107276153/4327239/4350793/4326547/4333153/4352499/4347611/4332054/4326153/4327301/4337396/4343003/4324264/4335559/4352460/4347614/4335562/4344683/4343455/4347680/4339345/4342646/4331418/4339882/4338348/4337888/4326512/4334604/4340374/4343960/4347234/4334968/4338768/4329911/4342543/4339675/4335745/4334003/9267826/4340640/4340643/4337906/4327833/107275757/4341339/4334290/4340677/4331746/4337890/4350528/4325058/4328470/9269493,68,GO:1901135: carbohydrate derivative metabolic process,Kac,,
BP,GO:0046907,intracellular transport,68/1434,462/11422,0.147186147,1.172357164,1.43295458,0.01,0.01,0.01,9266519/4352271/4336024/4328861/4325312/9266052/4337342/4334695/4340097/4326480/4346287/4332864/4333557/9267670/4348891/4332496/4346657/4341074/4339683/4351205/4339163/4350905/4331645/4333120/4340842/4327660/4332526/4342601/4332426/4331010/4331721/4334079/4348999/4344339/4350599/9266663/4341894/4335642/4343420/4338508/4324394/4327818/9271973/4340257/4340037/4339486/4342665/4324247/4343696/4347526/4339274/4349288/4334485/4349303/4334700/4333468/4348622/4350961/4343885/4326570/4334042/4332834/4327779/4346691/4331353/4335134/4326208/4325047,68,GO:0046907: intracellular transport,Kac,,
BP,GO:0006520,amino acid metabolic process,67/1434,332/11422,0.201807229,1.607421317,4.255794731,4.53E-05,0.009214676,0.008119377,4324853/4332434/4352435/4345962/4332563/4336415/9270715/4348566/4348464/4332184/4333932/4349410/4324713/4331779/4336402/4344612/4342480/4345710/4332286/4330482/4345200/4346920/4345605/4343249/4352499/4330908/4338868/4349660/4332108/4346318/4333345/4333898/4324282/4348211/4351776/4334048/4332018/4351381/4325167/4325653/4339844/4341713/4337996/4347138/4329560/4346529/4328255/4344382/4325717/4341584/4339675/4339847/4342026/4331188/4329098/4352833/4348562/4341321/4341516/4325932/4332519/4324773/4343348/4350456/4334554/4337830/9266147,67,GO:0006520: amino acid metabolic process,Kac,,
BP,GO:0048519,negative regulation of biological process,67/1434,478/11422,0.140167364,1.116451626,0.985505013,0.01,0.01,0.01,4345683/4333880/4343201/4344620/4352524/4328654/4326378/4349053/4331006/4333273/4326580/4325442/4350355/4326190/4324438/4345036/4325197/4348610/4333598/4329065/4325594/4346657/4347905/4324952/4343292/4340671/4341709/4341465/4332656/4340481/4332326/4331099/4330670/4339468/4326698/4331698/4337654/4346283/4334103/4350031/4339584/4330771/4335928/4336092/4330281/9270411/4328304/4327777/4331683/4335025/4350526/9269685/4325982/4334840/4332101/4337457/4338043/4347066/107275671/4340825/4342244/4327851/4352037/107276358/4344331/4330568/4331353,67,GO:0048519: negative regulation of biological process,Kac,,
CC,GO:0031981,nuclear lumen,76/1435,373/12039,0.203753351,1.709398324,5.119786473,1.47E-06,0.000193603,0.000177547,4336833/4344620/4331236/4332742/4346392/4336986/4352218/4351627/4328207/4325215/4333273/4326580/4325442/4350355/4343672/4337169/4342619/4343013/4324413/4334469/4346414/9270402/4332852/4342987/4333384/4334825/4327549/4334430/4340481/4339215/4337994/4336010/4343819/4332800/4332567/4343071/4328001/4324449/4327680/4347787/9266910/4339468/4347950/4325052/4331462/4328227/9268085/4332806/9266475/4348225/4351115/4335928/4346824/4333983/4328304/4328008/4334691/4331644/4331489/4345577/4340256/4352780/4341106/4323936/4337886/4325333/4352826/4344685/4333654/4329847/4337783/4327851/4343885/4331393/4352037/4348775,76,GO:0031981: nuclear lumen,Kac,,
CC,GO:0140535,intracellular protein-containing complex,64/1435,384/12039,0.166666667,1.39825784,2.917709621,0.003226206,0.01,0.01,4345683/4336205/4349420/4346392/4341960/4346741/4331006/4349414/4337169/4350689/4342619/4335951/4337266/4347710/4336300/4340510/4348610/4330720/4333598/4340065/4330861/4323879/4327549/4328674/4346245/4340586/4331976/4336254/4344771/4344373/4332553/4328287/9266910/4348528/4339468/4339570/4331828/4352845/4325052/4334802/9266475/4348225/4351115/4336092/4327777/4331489/4352352/4340256/4337886/4337457/4337802/4333654/4347066/4352863/4348562/4344542/4340047/4344971/4337882/4334203/4337136/4326594/4333571/4332003,64,GO:0140535: intracellular protein-containing complex,Kac,,
